Team,Total Touchdowns Scored,Total Touchdowns Allowed,Total Points Scored,Total Points Allowed,Turnover Margin,Passing Touchdowns Scored,Passing Yards Gained,Rushing Touchdowns Scored,Rushing Yards Gained,Total Yards Gained,Passing Touchdowns Allowed,Passing Yards Allowed,Rushing Touchdowns Allowed,Rushing Yards Allowed,Total Yards Allowed,Defensive Touchdowns Scored,Defensive Touchdowns Allowed,Return Touchdowns Scored,Return Touchdowns Allowed,Field Goals Scored
ARI,32,32,310,299,8,21,3990,6,1308,5116,22,4396,9,1739,5891,4,1,1,0,29
ATL,42,46,381,417,5,28,4758,11,1498,6051,20,4618,21,1894,6372,2,5,1,0,29
BAL,46,30,409,302,2,27,3986,16,2019,5838,22,4341,8,1412,5391,2,0,1,0,29
BUF,34,28,343,289,7,23,3856,7,1482,5096,16,3600,10,1703,4995,2,2,2,0,34
CAR,36,44,339,374,3,23,3828,10,2036,5547,25,3913,14,1792,5437,2,4,1,1,29
CHI,40,49,319,442,-5,30,4035,8,1441,5233,34,4458,12,1803,6033,1,2,1,1,12
CIN,40,38,365,344,0,20,3551,19,2147,5568,18,4013,16,1861,5749,1,3,0,1,26
CLE,32,36,299,337,6,12,3678,17,1728,5193,22,3783,13,2265,5857,3,1,0,0,25
DAL,56,43,467,352,6,37,4008,16,2354,6138,22,4187,18,1650,5681,3,3,0,0,25
DEN,58,41,482,354,5,40,4779,15,1785,6446,29,3859,9,1276,4883,3,2,0,1,24
DET,35,32,321,282,7,22,4284,11,1422,5452,23,4001,8,1109,4815,2,0,0,1,25
GB,58,40,486,348,14,38,4447,14,1917,6178,26,3884,11,1919,5542,4,1,2,2,27
HOU,40,36,372,307,12,22,3460,12,2161,5513,28,4141,6,1681,5571,6,2,0,0,30
IND,53,46,458,369,-5,42,5062,9,1612,6506,27,3932,14,1814,5483,2,5,0,0,30
JAC,27,45,249,412,-6,15,3451,9,1633,4634,24,4174,15,2033,5932,3,6,0,0,20
KC,40,26,353,281,-3,18,3428,18,1918,5100,22,3505,4,2036,5288,2,0,2,0,25
MIA,42,42,388,373,2,27,4066,12,1872,5601,27,3768,13,1937,5494,3,1,0,1,29
MIN,35,38,325,343,-1,17,3566,12,1804,5048,26,3789,10,1943,5515,6,2,0,0,26
NE,52,32,468,313,12,34,4291,13,1727,5848,24,4119,6,1669,5506,4,2,1,0,35
NO,49,47,401,424,-13,33,4952,16,1818,6582,26,4207,17,2125,6144,0,4,0,0,19
NYG,44,45,380,400,-2,30,4470,13,1603,5875,25,4163,15,2162,6012,1,4,0,1,24
NYJ,27,46,283,401,-11,16,3206,11,2280,5226,31,4056,10,1489,5235,0,5,0,0,32
OAK,28,51,253,452,-15,22,3456,4,1240,4515,29,3967,17,1911,5721,2,4,0,1,19
PHI,54,48,474,400,-8,27,4581,16,1992,6348,30,4595,14,1771,6009,7,3,4,1,32
PIT,49,40,436,368,0,33,4997,10,1752,6577,30,4243,9,1605,5654,5,0,1,1,29
SD,40,38,348,348,-5,31,4296,6,1367,5465,24,3605,11,1986,5413,3,3,0,0,22
SEA,43,27,394,254,10,20,3492,20,2762,6012,17,3204,8,1304,4274,3,1,0,1,31
SF,33,40,306,340,7,20,3407,10,2176,5239,29,3731,7,1612,5143,3,3,0,1,25
STL,36,40,324,354,-2,20,3695,11,1635,5035,18,4126,12,1765,5626,3,9,2,1,24
TB,31,46,277,410,-8,21,3623,7,1375,4672,28,4294,15,1819,5903,3,2,0,1,20
TEN,28,48,254,438,-10,20,3738,6,1447,4859,28,3995,17,2195,5968,2,2,0,1,19
WAS,33,53,301,438,-12,18,4461,15,1691,5738,35,4231,11,1722,5712,0,5,0,2,24
